Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Kelvin Harmon (13372810),Kelvin Harmon,13372810,WR/FLEX,3000,CHI@WAS 09/23/2019 08:15PM ET,WAS,2.55
WR,Steven Sims Jr. (13372812),Steven Sims Jr.,13372812,WR/FLEX,3000,CHI@WAS 09/23/2019 08:15PM ET,WAS,1.45
WR,Riley Ridley (13372818),Riley Ridley,13372818,WR/FLEX,3000,CHI@WAS 09/23/2019 08:15PM ET,CHI,0
WR,Robert Davis (13372820),Robert Davis,13372820,WR/FLEX,3000,CHI@WAS 09/23/2019 08:15PM ET,WAS,0
TE,James O'Shaughnessy (13372888),James O'Shaughnessy,13372888,TE/FLEX,2900,TEN@JAX 09/19/2019 08:20PM ET,JAX,7
DST,Jaguars  (13373065),Jaguars ,13373065,DST,2900,TEN@JAX 09/19/2019 08:20PM ET,JAX,2
TE,Blake Jarwin (13372892),Blake Jarwin,13372892,TE/FLEX,2900,MIA@DAL 09/22/2019 01:00PM ET,DAL,8.05
TE,Jeff Heuerman (13372890),Jeff Heuerman,13372890,TE/FLEX,2900,DEN@GB 09/22/2019 01:00PM ET,DEN,3.05
DST,Buccaneers  (13373066),Buccaneers ,13373066,DST,2900,NYG@TB 09/22/2019 04:05PM ET,TB,10.5
TE,Geoff Swaim (13372894),Geoff Swaim,13372894,TE/FLEX,2800,TEN@JAX 09/19/2019 08:20PM ET,JAX,5.05
TE,Noah Fant (13372898),Noah Fant,13372898,TE/FLEX,2800,DEN@GB 09/22/2019 01:00PM ET,DEN,5.85
DST,Colts  (13373068),Colts ,13373068,DST,2800,ATL@IND 09/22/2019 01:00PM ET,IND,6
TE,Dallas Goedert (13372896),Dallas Goedert,13372896,TE/FLEX,2800,DET@PHI 09/22/2019 01:00PM ET,PHI,3.6
DST,Texans  (13373067),Texans ,13373067,DST,2800,HOU@LAC 09/22/2019 04:25PM ET,HOU,6
DST,Browns  (13373069),Browns ,13373069,DST,2800,LAR@CLE 09/22/2019 08:20PM ET,CLE,6.5
TE,Tyler Kroft (13372902),Tyler Kroft,13372902,TE/FLEX,2700,CIN@BUF 09/22/2019 01:00PM ET,BUF,0
TE,C.J. Uzomah (13372910),C.J. Uzomah,13372910,TE/FLEX,2700,CIN@BUF 09/22/2019 01:00PM ET,CIN,5.3
TE,Nick Boyle (13372900),Nick Boyle,13372900,TE/FLEX,2700,BAL@KC 09/22/2019 01:00PM ET,BAL,4
