Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Baker Mayfield (13372087),Baker Mayfield,13372087,QB,6000,LAR@CLE 09/22/2019 08:20PM ET,CLE,15.7
QB,Josh Allen (13372092),Josh Allen,13372092,QB,5900,CIN@BUF 09/22/2019 01:00PM ET,BUF,21.09
WR,Marquise Brown (13372488),Marquise Brown,13372488,WR/FLEX,5900,BAL@KC 09/22/2019 01:00PM ET,BAL,25.15
WR,DJ Moore (13372486),DJ Moore,13372486,WR/FLEX,5900,CAR@ARI 09/22/2019 04:05PM ET,CAR,15.75
RB,Chris Carson (13372192),Chris Carson,13372192,RB/FLEX,5900,NO@SEA 09/22/2019 04:25PM ET,SEA,17.85
RB,Marlon Mack (13372194),Marlon Mack,13372194,RB/FLEX,5800,ATL@IND 09/22/2019 01:00PM ET,IND,18.35
WR,DeSean Jackson (13372490),DeSean Jackson,13372490,WR/FLEX,5800,DET@PHI 09/22/2019 01:00PM ET,PHI,19.2
QB,Kyler Murray (13372093),Kyler Murray,13372093,QB,5800,CAR@ARI 09/22/2019 04:05PM ET,ARI,22.49
QB,Philip Rivers (13372094),Philip Rivers,13372094,QB,5800,HOU@LAC 09/22/2019 04:25PM ET,LAC,19.92
WR,Michael Gallup (13372494),Michael Gallup,13372494,WR/FLEX,5700,MIA@DAL 09/22/2019 01:00PM ET,DAL,19.3
QB,Matt Ryan (13372095),Matt Ryan,13372095,QB,5700,ATL@IND 09/22/2019 01:00PM ET,ATL,24.33
RB,Mark Ingram II (13372196),Mark Ingram II,13372196,RB/FLEX,5700,BAL@KC 09/22/2019 01:00PM ET,BAL,17.7
WR,Alshon Jeffery (13372492),Alshon Jeffery,13372492,WR/FLEX,5700,DET@PHI 09/22/2019 01:00PM ET,PHI,11.05
TE,Zach Ertz (13372830),Zach Ertz,13372830,TE/FLEX,5700,DET@PHI 09/22/2019 01:00PM ET,PHI,13.8
WR,Tyrell Williams (13372498),Tyrell Williams,13372498,WR/FLEX,5600,OAK@MIN 09/22/2019 01:00PM ET,OAK,20.55
