Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Derrick Henry (13370446),Derrick Henry,13370446,CPT,15900,TEN@JAX 09/19/2019 08:20PM ET,TEN,23.1
QB,Marcus Mariota (13370447),Marcus Mariota,13370447,CPT,15000,TEN@JAX 09/19/2019 08:20PM ET,TEN,18.84
RB,Leonard Fournette (13370448),Leonard Fournette,13370448,CPT,14700,TEN@JAX 09/19/2019 08:20PM ET,JAX,12.55
QB,Gardner Minshew II (13370449),Gardner Minshew II,13370449,CPT,13800,TEN@JAX 09/19/2019 08:20PM ET,JAX,17.86
TE,Delanie Walker (13370450),Delanie Walker,13370450,CPT,12300,TEN@JAX 09/19/2019 08:20PM ET,TEN,15.2
WR,DJ Chark Jr. (13370451),DJ Chark Jr.,13370451,CPT,11400,TEN@JAX 09/19/2019 08:20PM ET,JAX,23.05
WR,Dede Westbrook (13370452),Dede Westbrook,13370452,CPT,11100,TEN@JAX 09/19/2019 08:20PM ET,JAX,7.75
RB,Derrick Henry (13370409),Derrick Henry,13370409,FLEX,10600,TEN@JAX 09/19/2019 08:20PM ET,TEN,23.1
WR,Chris Conley (13370453),Chris Conley,13370453,CPT,10500,TEN@JAX 09/19/2019 08:20PM ET,JAX,16.5
QB,Marcus Mariota (13370410),Marcus Mariota,13370410,FLEX,10000,TEN@JAX 09/19/2019 08:20PM ET,TEN,18.84
WR,Marqise Lee (13370454),Marqise Lee,13370454,CPT,9900,TEN@JAX 09/19/2019 08:20PM ET,JAX,0
RB,Leonard Fournette (13370411),Leonard Fournette,13370411,FLEX,9800,TEN@JAX 09/19/2019 08:20PM ET,JAX,12.55
QB,Nick Foles (13370455),Nick Foles,13370455,CPT,9300,TEN@JAX 09/19/2019 08:20PM ET,JAX,7
QB,Josh Dobbs (13370456),Josh Dobbs,13370456,CPT,9300,TEN@JAX 09/19/2019 08:20PM ET,JAX,0
QB,Ryan Tannehill (13370457),Ryan Tannehill,13370457,CPT,9300,TEN@JAX 09/19/2019 08:20PM ET,TEN,-0.2
QB,Gardner Minshew II (13370412),Gardner Minshew II,13370412,FLEX,9200,TEN@JAX 09/19/2019 08:20PM ET,JAX,17.86
WR,Corey Davis (13370458),Corey Davis,13370458,CPT,9000,TEN@JAX 09/19/2019 08:20PM ET,TEN,3.4
WR,A.J. Brown (13370459),A.J. Brown,13370459,CPT,8400,TEN@JAX 09/19/2019 08:20PM ET,TEN,10.75
TE,Delanie Walker (13370413),Delanie Walker,13370413,FLEX,8200,TEN@JAX 09/19/2019 08:20PM ET,TEN,15.2
DST,Titans  (13370460),Titans ,13370460,CPT,7800,TEN@JAX 09/19/2019 08:20PM ET,TEN,15.5
WR,DJ Chark Jr. (13370414),DJ Chark Jr.,13370414,FLEX,7600,TEN@JAX 09/19/2019 08:20PM ET,JAX,23.05
WR,Dede Westbrook (13370415),Dede Westbrook,13370415,FLEX,7400,TEN@JAX 09/19/2019 08:20PM ET,JAX,7.75
WR,Chris Conley (13370416),Chris Conley,13370416,FLEX,7000,TEN@JAX 09/19/2019 08:20PM ET,JAX,16.5
