Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Davante Adams (13428001),Davante Adams,13428001,CPT,16500,PHI@GB 09/26/2019 08:20PM ET,GB,12.6
QB,Aaron Rodgers (13428002),Aaron Rodgers,13428002,CPT,16200,PHI@GB 09/26/2019 08:20PM ET,GB,13.86
QB,Carson Wentz (13428003),Carson Wentz,13428003,CPT,15000,PHI@GB 09/26/2019 08:20PM ET,PHI,23.07
TE,Zach Ertz (13428004),Zach Ertz,13428004,CPT,13800,PHI@GB 09/26/2019 08:20PM ET,PHI,12.67
RB,Aaron Jones (13428005),Aaron Jones,13428005,CPT,13500,PHI@GB 09/26/2019 08:20PM ET,GB,16.07
WR,Alshon Jeffery (13428006),Alshon Jeffery,13428006,CPT,12300,PHI@GB 09/26/2019 08:20PM ET,PHI,11.05
WR,DeSean Jackson (13428007),DeSean Jackson,13428007,CPT,12000,PHI@GB 09/26/2019 08:20PM ET,PHI,19.2
WR,Nelson Agholor (13428008),Nelson Agholor,13428008,CPT,11700,PHI@GB 09/26/2019 08:20PM ET,PHI,18.27
WR,Marquez Valdes-Scantling (13428009),Marquez Valdes-Scantling,13428009,CPT,11400,PHI@GB 09/26/2019 08:20PM ET,GB,12
WR,Davante Adams (13427965),Davante Adams,13427965,FLEX,11000,PHI@GB 09/26/2019 08:20PM ET,GB,12.6
QB,Aaron Rodgers (13427966),Aaron Rodgers,13427966,FLEX,10800,PHI@GB 09/26/2019 08:20PM ET,GB,13.86
QB,Carson Wentz (13427967),Carson Wentz,13427967,FLEX,10000,PHI@GB 09/26/2019 08:20PM ET,PHI,23.07
RB,Miles Sanders (13428010),Miles Sanders,13428010,CPT,9300,PHI@GB 09/26/2019 08:20PM ET,PHI,8
TE,Zach Ertz (13427968),Zach Ertz,13427968,FLEX,9200,PHI@GB 09/26/2019 08:20PM ET,PHI,12.67
RB,Aaron Jones (13427969),Aaron Jones,13427969,FLEX,9000,PHI@GB 09/26/2019 08:20PM ET,GB,16.07
QB,Nate Sudfeld (13428011),Nate Sudfeld,13428011,CPT,8700,PHI@GB 09/26/2019 08:20PM ET,PHI,0
QB,Josh McCown (13428012),Josh McCown,13428012,CPT,8700,PHI@GB 09/26/2019 08:20PM ET,PHI,0.96
QB,Tim Boyle (13428013),Tim Boyle,13428013,CPT,8700,PHI@GB 09/26/2019 08:20PM ET,GB,0
WR,Alshon Jeffery (13427970),Alshon Jeffery,13427970,FLEX,8200,PHI@GB 09/26/2019 08:20PM ET,PHI,11.05
WR,DeSean Jackson (13427971),DeSean Jackson,13427971,FLEX,8000,PHI@GB 09/26/2019 08:20PM ET,PHI,19.2
WR,Nelson Agholor (13427972),Nelson Agholor,13427972,FLEX,7800,PHI@GB 09/26/2019 08:20PM ET,PHI,18.27
WR,Marquez Valdes-Scantling (13427973),Marquez Valdes-Scantling,13427973,FLEX,7600,PHI@GB 09/26/2019 08:20PM ET,GB,12
RB,Jamaal Williams (13428014),Jamaal Williams,13428014,CPT,7500,PHI@GB 09/26/2019 08:20PM ET,GB,9.07
DST,Packers  (13428015),Packers ,13428015,CPT,7200,PHI@GB 09/26/2019 08:20PM ET,GB,13
