Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
DST,Buccaneers  (13318174),Buccaneers ,13318174,FLEX,3600,TB@CAR 09/12/2019 08:20PM ET,TB,12
RB,Dare Ogunbowale (13318214),Dare Ogunbowale,13318214,CPT,3600,TB@CAR 09/12/2019 08:20PM ET,TB,7.3
K,Joey Slye (13318175),Joey Slye,13318175,FLEX,3400,TB@CAR 09/12/2019 08:20PM ET,CAR,12
K,Matt Gay (13318176),Matt Gay,13318176,FLEX,3200,TB@CAR 09/12/2019 08:20PM ET,TB,5
WR,Chris Hogan (13318215),Chris Hogan,13318215,CPT,3000,TB@CAR 09/12/2019 08:20PM ET,CAR,0
RB,Jordan Scarlett (13318216),Jordan Scarlett,13318216,CPT,2700,TB@CAR 09/12/2019 08:20PM ET,CAR,0
RB,Dare Ogunbowale (13318177),Dare Ogunbowale,13318177,FLEX,2400,TB@CAR 09/12/2019 08:20PM ET,TB,7.3
WR,Chris Hogan (13318178),Chris Hogan,13318178,FLEX,2000,TB@CAR 09/12/2019 08:20PM ET,CAR,0
RB,Jordan Scarlett (13318179),Jordan Scarlett,13318179,FLEX,1800,TB@CAR 09/12/2019 08:20PM ET,CAR,0
TE,Tanner Hudson (13318217),Tanner Hudson,13318217,CPT,1800,TB@CAR 09/12/2019 08:20PM ET,TB,0
TE,Tanner Hudson (13318180),Tanner Hudson,13318180,FLEX,1200,TB@CAR 09/12/2019 08:20PM ET,TB,0
RB,Reggie Bonnafon (13318218),Reggie Bonnafon,13318218,CPT,1200,TB@CAR 09/12/2019 08:20PM ET,CAR,0
WR,Bobo Wilson (13318219),Bobo Wilson,13318219,CPT,900,TB@CAR 09/12/2019 08:20PM ET,TB,0
RB,Reggie Bonnafon (13318181),Reggie Bonnafon,13318181,FLEX,800,TB@CAR 09/12/2019 08:20PM ET,CAR,0
WR,Bobo Wilson (13318182),Bobo Wilson,13318182,FLEX,600,TB@CAR 09/12/2019 08:20PM ET,TB,0
RB,Alex Armah (13318220),Alex Armah,13318220,CPT,600,TB@CAR 09/12/2019 08:20PM ET,CAR,6.1
RB,Alex Armah (13318183),Alex Armah,13318183,FLEX,400,TB@CAR 09/12/2019 08:20PM ET,CAR,6.1
WR,Scotty Miller (13318221),Scotty Miller,13318221,CPT,300,TB@CAR 09/12/2019 08:20PM ET,TB,0
WR,Ray-Ray McCloud (13318222),Ray-Ray McCloud,13318222,CPT,300,TB@CAR 09/12/2019 08:20PM ET,CAR,0
WR,Brandon Zylstra (13318223),Brandon Zylstra,13318223,CPT,300,TB@CAR 09/12/2019 08:20PM ET,CAR,0
TE,Chris Manhertz (13318224),Chris Manhertz,13318224,CPT,300,TB@CAR 09/12/2019 08:20PM ET,CAR,0
RB,T.J. Logan (13318225),T.J. Logan,13318225,CPT,300,TB@CAR 09/12/2019 08:20PM ET,TB,0
TE,Antony Auclair (13318226),Antony Auclair,13318226,CPT,300,TB@CAR 09/12/2019 08:20PM ET,TB,0
WR,Justin Watson (13318227),Justin Watson,13318227,CPT,300,TB@CAR 09/12/2019 08:20PM ET,TB,0
WR,Scotty Miller (13318184),Scotty Miller,13318184,FLEX,200,TB@CAR 09/12/2019 08:20PM ET,TB,0
WR,Ray-Ray McCloud (13318185),Ray-Ray McCloud,13318185,FLEX,200,TB@CAR 09/12/2019 08:20PM ET,CAR,0
WR,Brandon Zylstra (13318186),Brandon Zylstra,13318186,FLEX,200,TB@CAR 09/12/2019 08:20PM ET,CAR,0
TE,Chris Manhertz (13318187),Chris Manhertz,13318187,FLEX,200,TB@CAR 09/12/2019 08:20PM ET,CAR,0
RB,T.J. Logan (13318188),T.J. Logan,13318188,FLEX,200,TB@CAR 09/12/2019 08:20PM ET,TB,0
TE,Antony Auclair (13318189),Antony Auclair,13318189,FLEX,200,TB@CAR 09/12/2019 08:20PM ET,TB,0
WR,Justin Watson (13318190),Justin Watson,13318190,FLEX,200,TB@CAR 09/12/2019 08:20PM ET,TB,0
